spid,mbid,wdid
3h7jM7DDAiLYs2G2tbTdDD,2565a779-0598-40b7-84a8-95fdcd283483,http://www.wikidata.org/entity/Q254341
07L6XZ7QaTsZLP8jwLoFgY,0d9b88f3-054a-4f53-b447-2f3f503c8290,http://www.wikidata.org/entity/Q255233
1YPbkcgndtfM2LF4JOwFIJ,83a3ee3f-0fe4-47ba-ad9b-a89d532f4df8,http://www.wikidata.org/entity/Q259161
3aSkzI3DQrdPtYXizXnwda,74f2add6-e8b6-4323-a21b-443600379d16,http://www.wikidata.org/entity/Q261990
22fZqbBkL00bdiNgnQN3EE,b3eb9512-3a89-459d-beb5-c4925a0325cf,http://www.wikidata.org/entity/Q265740
15jZ8OLtnGATWHlQkltG7f,b40f0299-fa59-41fb-80bb-cbc091c5452f,http://www.wikidata.org/entity/Q266779
5556RAgwP70PnXbaUTGNbR,c29f4522-f710-4bb5-a06b-d436fcc3b2fd,http://www.wikidata.org/entity/Q266782
6oBm8HB0yfrIc9IHbxs6in,cc7d4686-ea02-45fd-956e-94c1a322558c,http://www.wikidata.org/entity/Q270724
0oea1hwGMfUxZbLxJc1XUN,7db6aae5-6644-4513-9bfc-ca2e79d4469c,http://www.wikidata.org/entity/Q273049
1Oedz03PvIZQvBJBneRd9S,1c2938ae-37df-44a7-8630-be2cb1d357e0,http://www.wikidata.org/entity/Q283986
0bz9hDpUbAw5JElgEiuIYZ,16a99fc7-e323-4d04-81ab-46b09a0cb4eb,http://www.wikidata.org/entity/Q284872
3HJzLaMbS0jMabxS3wttGk,cfa7c6b1-bbb3-4f9a-a636-cbfafb9b4bcf,http://www.wikidata.org/entity/Q287061
5ZGDxHhju6eE8ja4IyGe87,dcda6ece-8cca-4d98-9785-2d5e9b07be80,http://www.wikidata.org/entity/Q289108
2eRNMtoi82UZUuaL6naDjA,130e7bd0-6d34-48a9-822f-03eff7ea95d4,http://www.wikidata.org/entity/Q289614
4rZoL92ShDgN9SLLg4OPPN,e026f4dd-bf8b-451b-8f5c-dc35fdbed0c0,http://www.wikidata.org/entity/Q289821
7E3BRXV9ZbCt5lQTCXMTia,6655955b-1c1e-4bcb-84e4-81bcd9efab30,http://www.wikidata.org/entity/Q292972
6hnWRPzGGKiapVX1UCdEAC,6c8fd0be-d961-454c-aee0-4366a6dbc993,http://www.wikidata.org/entity/Q295919
