spid,mbid,wdid
6f7DHrhSS6FFn8MP7q4GpM,,http://www.wikidata.org/entity/Q44889742
6Fehe14UZrHf7BP9YSpMrT,,http://www.wikidata.org/entity/Q44890005
1h0x8mEZGBwSB62rcig3mn,,http://www.wikidata.org/entity/Q45291349
6j0ZbLhJ0uyREyXoz0KtON,,http://www.wikidata.org/entity/Q45315831
2RMlONEXAJnheRIJbImGdL,,http://www.wikidata.org/entity/Q45318636
27eFlfGoxcRkMRj6mg5cc3,,http://www.wikidata.org/entity/Q47256017
0vGD0xtjoyZeDbbWL3nk5e,,http://www.wikidata.org/entity/Q45801684
7wO3Baq5DouLlvkxuYzZGk,,http://www.wikidata.org/entity/Q46114896
39U4SHU5VgAPaNsE29k6tU,,http://www.wikidata.org/entity/Q45312998
3obFzTWmvI6H45244KpLxt,,http://www.wikidata.org/entity/Q46224513
23XlzmrOle1yLcPPDvkQFd,,http://www.wikidata.org/entity/Q47005000
22ovbDuIyywiU174wNS6U1,,http://www.wikidata.org/entity/Q47088604
7eHU1oSd5SzPLAdRg9W37g,,http://www.wikidata.org/entity/Q47200009
2CpTUlp6RhbMYBF4GqJCAL,,http://www.wikidata.org/entity/Q47500475
4rgx1HgvOdLAS18zgP6f0U,,http://www.wikidata.org/entity/Q47753070
4hUrMPSpOYKLtDqdi8zlOS,,http://www.wikidata.org/entity/Q47753636
3glqvX58NEoX9D7Y60N429,,http://www.wikidata.org/entity/Q48469404
1ge2GV7mi6RoSkdKKq5feC,,http://www.wikidata.org/entity/Q49013829
3XU1OmIoTzFPHx5CM2isGo,7720104c-c7c7-49a6-888d-ab6b3300dce3,http://www.wikidata.org/entity/Q30150195
5mv75enwMvLcgX9vfvb9H1,7720104c-c7c7-49a6-888d-ab6b3300dce3,http://www.wikidata.org/entity/Q30150195
1WQ8fVzE8PbBD44BKhSZCh,9d037d8b-585e-438b-a786-adb50a736a38,http://www.wikidata.org/entity/Q47508950
2YhN4T2KHSOIGLZ8VTkRvU,115b29b3-1a5a-46f2-bb06-c21936739d6a,http://www.wikidata.org/entity/Q47893026
4PcNvAgZqbwHLb3s0QNlC0,8c859f3b-266a-4ec4-bfab-1c5cc4143926,http://www.wikidata.org/entity/Q47457122
4Yncm2TtuQScLnXKrDCNZF,06b28664-ca07-48da-b342-294d9c17c1df,http://www.wikidata.org/entity/Q47459919
1NfBFQ6fMQ7VukwFYQuS4I,f365a030-7b84-4377-a095-697b6523cf16,http://www.wikidata.org/entity/Q26794359
71YSwTnHPnPZHM9ckzemJ7,c554bcdf-d3be-421d-925f-5da06d3b944d,http://www.wikidata.org/entity/Q26884640
2CtPWszdy6pVQ8vUzyFQTp,8da9fce5-ea5e-4981-b7f4-4497a573a5b3,http://www.wikidata.org/entity/Q22693262
19YlQK3Zr5gZgEZXrmgayO,d4ab9af3-0e3d-4cf7-8f06-7a3043d01626,http://www.wikidata.org/entity/Q46011436
1lCmbNOMbDw1QeFzWGWLbR,850e7b46-91ec-4bde-b9c7-139e64acf9b3,http://www.wikidata.org/entity/Q27064266
6crlwYJmL0YVVGPdoh7Yev,f971c802-4eaf-4e23-8598-2c7aa484b27b,http://www.wikidata.org/entity/Q18677525
7EzeP0Bq2q5f1dZJ329PRQ,51bc942c-55ec-4b05-9496-44eda70222c2,http://www.wikidata.org/entity/Q43162517
0oy2HtRcwaEphdnwVcNKdv,0b222750-586d-4181-b7e0-859e7acf760e,http://www.wikidata.org/entity/Q43301964
7hwhuEQT4Fp5bzwLlYZtiz,d4e5b10a-3f86-4960-8413-a56b8106a6fb,http://www.wikidata.org/entity/Q35841277
1BA8Oj9zmzuCXgXwBKskJO,23ac9cda-f7e3-4e1a-bf9d-2f02a4fd2eed,http://www.wikidata.org/entity/Q27824547
1aKWqLMPxvgkkqdqE8yzEF,,http://www.wikidata.org/entity/Q260957
1WGJ7cDbaBTutYWMRww16x,,http://www.wikidata.org/entity/Q1757890
079Chms1kfzPXYULTEfrxd,6837b0e5-f517-4ed1-82df-8235b4a51fd2,http://www.wikidata.org/entity/Q21044191
2mP5eITEOqzOZ18Wcpawuf,,http://www.wikidata.org/entity/Q2816026
6FVxnyA6jnvbzEHh0exOy3,,http://www.wikidata.org/entity/Q3481716
35KPICCxAelsB81JKpLZjN,5aab0f61-2f48-4ce1-a5b5-3553e9f9cd01,http://www.wikidata.org/entity/Q28864630
7lkbRDQReQXCAPViu5aTOO,,http://www.wikidata.org/entity/Q600787
4bHxlso02RaAgI7VRUpbrz,85c8e65e-8db3-375e-bdfd-4a8e9389c5e9,http://www.wikidata.org/entity/Q129108
1P7f9dheKiUWLPCCQ9RdS1,,http://www.wikidata.org/entity/Q3088261
6tkWyugiJx8ldyhwAZ694u,,http://www.wikidata.org/entity/Q3556790
0EhziYBmHpzuo7tkQ4T3bI,,http://www.wikidata.org/entity/Q3933795
4BfRo8RoRCj9KEIBEkXvda,,http://www.wikidata.org/entity/Q4752888
0NvirtaDCaZU5PAW1O5FDE,066f840f-e357-436f-bb0a-47ad7cfcd84a,http://www.wikidata.org/entity/Q29017300
1Dh27pjT3IEdiRG9Se5uQn,ef03fe86-b54c-3667-8768-029833e7e1cd,http://www.wikidata.org/entity/Q210910
4sLCQxMRfn3gAHrBNZtbTH,8a7a9db3-f87b-37d5-96a6-67485a8792e6,http://www.wikidata.org/entity/Q236304
78MM8HrabEGPLVWaJkM2t1,8a7a9db3-f87b-37d5-96a6-67485a8792e6,http://www.wikidata.org/entity/Q236304
2LkXzNHFHGRhxkwdP2DGok,037aa700-4629-3b58-93d7-52d31a436cf8,http://www.wikidata.org/entity/Q4020475
48AGkmM7iO4jrELRnNZGPV,1f75a8df-176c-3d23-8f1f-b0c8935682ec,http://www.wikidata.org/entity/Q252447
16BW7Z0h309liAUqhHlAg4,,http://www.wikidata.org/entity/Q20251972
5Zjo8nwER8TVdFPke1EnTG,,http://www.wikidata.org/entity/Q20748500
54ixUZwSjqeb8bXMoec9xJ,,http://www.wikidata.org/entity/Q20760490
2tShA8neDBPFY0Bc06qEpx,,http://www.wikidata.org/entity/Q20826648
2g69A5sD4642mHqNptmQxJ,,http://www.wikidata.org/entity/Q17651465
3MKCMDrzNvkb5F0jmKFRee,,http://www.wikidata.org/entity/Q21601953
3mcpc9Wuh89AFdx9JyubHQ,,http://www.wikidata.org/entity/Q21836964
5cheiMKg00A85YckkLrjIm,,http://www.wikidata.org/entity/Q20253327
5lMWPmA9Vh5RtJXSA23i49,,http://www.wikidata.org/entity/Q20648910
2lBRNqB9iOJZFNu1JOSUBW,,http://www.wikidata.org/entity/Q24256423
4BTlXiDFjyJfpHjR7jlEJo,,http://www.wikidata.org/entity/Q24283755
0tngGt3ED4ZC0cvDqsDF5x,,http://www.wikidata.org/entity/Q21088200
2DzTTedl3MEhfwzmHLTHB7,,http://www.wikidata.org/entity/Q24699101
1L68JXnB9AEyrgCb8ISgIO,,http://www.wikidata.org/entity/Q21836677
1Fn0eDiErYKmaKs5Jx6aqC,,http://www.wikidata.org/entity/Q22204045
6Ivdc0kbXQh6eFe4zaJLio,,http://www.wikidata.org/entity/Q22259775
7IhCIcftmGQktCnEUkIrd6,c895fac8-2480-4504-8953-a0269609eef3,http://www.wikidata.org/entity/Q25440521
1e3zayDNgyBMNOuVNBLwvN,,http://www.wikidata.org/entity/Q26726242
