spid,mbid,wdid
7LFwWqUxrX7C1c2544tnbN,190b1618-11a8-4ad7-89d8-997c4bca554f,http://www.wikidata.org/entity/Q27215307
5K5jYm4Rfyiz3pZZknFMVh,576448c5-e645-328f-99d8-bc3dfe178961,http://www.wikidata.org/entity/Q6738901
1HO5IwMwa53pVgGQsJo0ib,09eefa44-6674-47ec-aec1-97971fea65b3,http://www.wikidata.org/entity/Q22257805
36GOO5tHbq4PwcAJG3T0lC,b68238d8-5db1-4a71-841f-28220817b9a6,http://www.wikidata.org/entity/Q22259695
286mzaPiLFp9hlrHR6ig9k,9ffa4f1e-85ff-420a-a422-c08dfa8b3958,http://www.wikidata.org/entity/Q22259796
4IOPLyAe3NmfUGq0qNnd9i,,http://www.wikidata.org/entity/Q675958
6v9RH2FqL1Cyg4Yz2PSrjE,,http://www.wikidata.org/entity/Q2663063
0NLMmHgUjwWP7wGu1sY2gU,,http://www.wikidata.org/entity/Q3186729
329ShJfuwxETj17J6W2zSq,,http://www.wikidata.org/entity/Q3186729
6IOledhFH0nPfNv9VHsNPY,,http://www.wikidata.org/entity/Q3287086
0SvD6EdetxVtXei2JhkV4B,,http://www.wikidata.org/entity/Q1370847
0l9l90a1zB3wUObtwWbqHy,,http://www.wikidata.org/entity/Q2887099
2TK2KSrzXD6W01qjXVjNGh,eea70810-5b5d-408c-a169-9ece28098a57,http://www.wikidata.org/entity/Q23763087
3VsX5AQrBYvVi35Lr1c57Z,bb5220d1-f62e-4222-8a04-75def601ad97,http://www.wikidata.org/entity/Q35593910
0Kb0082EuIPSx0yoYBth8o,908ec71e-20f4-47c8-976e-64dd6909068d,http://www.wikidata.org/entity/Q28038191
2WzEojGMDg3s7czWtbzlxK,,http://www.wikidata.org/entity/Q15897084
7bpJQ1Os8kBMz2NVYeEeEk,,http://www.wikidata.org/entity/Q20962354
5h2nC1QYVpK0AJra70Ja3p,,http://www.wikidata.org/entity/Q18156203
47IcfW83MnhrIsZWEVSmDs,,http://www.wikidata.org/entity/Q19833399
1Tgy6QtPJQmzaIOgj5kCb8,,http://www.wikidata.org/entity/Q24265798
2CmbkHAlT5c6jxGBnuDexw,,http://www.wikidata.org/entity/Q20992434
2T3YjAVZVsdPVn0tThK27D,,http://www.wikidata.org/entity/Q20992434
4TCIAfhhzPXOBq7ujbJTxw,,http://www.wikidata.org/entity/Q20992434
54sXdnfoZ6DVzKw7m4p7l3,,http://www.wikidata.org/entity/Q20992434
7fGFodz5O0IixrJC1HbgI5,,http://www.wikidata.org/entity/Q24452080
5UhsTLmIpG5GZjbCr5fAnK,,http://www.wikidata.org/entity/Q27927451
42cqGBSBqp294mxeiLnwdY,,http://www.wikidata.org/entity/Q28038194
07rJ9xLSbBKLwJHW73CApr,,http://www.wikidata.org/entity/Q21539855
3t5xelSrX7T03M4FIv2wHl,,http://www.wikidata.org/entity/Q28530182
0CxPqfcZDXp1QoTnhAE1xC,,http://www.wikidata.org/entity/Q28792442
2IOViM71uj8xksoqLb8TCm,,http://www.wikidata.org/entity/Q28864768
1OR6UZG2tmqiAB2e2ekMd4,,http://www.wikidata.org/entity/Q29479357
6n1E79DRl0mxhHLCO2seFT,,http://www.wikidata.org/entity/Q26398558
1Tukn8QlXOi6S77iKUSmJs,,http://www.wikidata.org/entity/Q30023009
5YHIjQ67A3PpLrIzzGpzrO,,http://www.wikidata.org/entity/Q30135236
3zEUpWjBZUlMqFpKNC1v1p,,http://www.wikidata.org/entity/Q26848864
4P0lFGK6UFLojxEzh6DqBM,,http://www.wikidata.org/entity/Q26904111
55aoskDBmAYSWqngbOVZnQ,,http://www.wikidata.org/entity/Q24089687
5A0E0pI7SZOexTaL0B3ToI,,http://www.wikidata.org/entity/Q24265772
4TjQW7GIImS6INJyhjuANs,,http://www.wikidata.org/entity/Q24451932
5AYQhD8erZU6ki7D9haQNB,,http://www.wikidata.org/entity/Q28311009
2jZsuy8y48iKwcXO8M0FRK,,http://www.wikidata.org/entity/Q28435345
4NxsroKEOTc43bNpfEUtOo,,http://www.wikidata.org/entity/Q28727766
2GB3bUoLiZWCtujmU056uL,2ee5508f-a3e1-44b9-bb28-aa7824dab23c,http://www.wikidata.org/entity/Q20046281
2U7uWYDp7U69kJcojwYiJW,,http://www.wikidata.org/entity/Q29647125
6WP2lGRGKAt5VT75TqWsyP,,http://www.wikidata.org/entity/Q26847979
2ACOWPLUe4A4KuQ5ioD2od,,http://www.wikidata.org/entity/Q27043629
7CoLQvTQpJYfB7nYv6h6aZ,,http://www.wikidata.org/entity/Q30432608
5EWbN9aFE4F175SPYWnVth,,http://www.wikidata.org/entity/Q30511809
2w9k1PQv021ZBNLLu2hgRx,2f821b9b-fb60-478a-b123-9e2719ac20b6,http://www.wikidata.org/entity/Q19363014
6pNhhv4VcoQj9uA6oH3YZa,,http://www.wikidata.org/entity/Q27644691
6eUClMzq8c9cKBXd6NrgVN,,http://www.wikidata.org/entity/Q28044709
7CxsVLWvS7ivaodXt5sUGC,,http://www.wikidata.org/entity/Q28053824
2EfmyRWheMtmVTCIsptsLi,,http://www.wikidata.org/entity/Q28646694
5v4pfRg3jbgNDjlghvczvX,,http://www.wikidata.org/entity/Q30092928
6XL0YDHsDlHaJxoLsfIhE7,a0596820-e2bc-4b8e-8858-10689f00eaab,http://www.wikidata.org/entity/Q23647044
3s9itRgJYcKhem01P17865,ae4f2a45-a5cb-49c5-a8de-3507056b4d2a,http://www.wikidata.org/entity/Q23763088
71X7bPDljJHrmEGYCe7kQ8,8933f0a5-00da-411b-854a-752a76f2c19e,http://www.wikidata.org/entity/Q23763074
4cxvludVmQxryrnx1m9FqL,0eb3f591-dfe3-40d7-888e-98f348ebc055,http://www.wikidata.org/entity/Q23763167
11eSOZQj0od3y6DQHGloSW,34a9654b-a441-37ae-8475-6de1ec33ffd1,http://www.wikidata.org/entity/Q2835197
2MKTuj7f7A2ys9rY8NGnHX,,http://www.wikidata.org/entity/Q38137272
1WC2ctyzNjpgkhF0dplias,,http://www.wikidata.org/entity/Q41558604
0ofbQMrRDsUaVKq2mGLEAb,,http://www.wikidata.org/entity/Q35282195
03aENfSuuy3VS0sbgH7u1D,,http://www.wikidata.org/entity/Q35520696
7fwXWKdDNI5IutOMc5OKYw,,http://www.wikidata.org/entity/Q35520696
0gPhxo3VFErDt1UIzxuzNx,,http://www.wikidata.org/entity/Q38696937
6YKK4hMmtukyj7KbenHKOk,,http://www.wikidata.org/entity/Q38696020
4h9oBIwZ5he6rgXI2mgPEJ,,http://www.wikidata.org/entity/Q39501545
3CRDbSIZ4r5MsZ0YwxuEkn,97c38ee5-85c4-4d61-bfab-85e76f6f850b,http://www.wikidata.org/entity/Q19851006
0K9z9K80doZNey4UfqDJ1y,4f9a7a6d-1eaf-442e-9808-7a36bfd2ac84,http://www.wikidata.org/entity/Q20012913
